physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
22771 - THE MEDICAL CITY,22771,THE MEDICAL CITY,RODRIGO CALALANG SANTOS,Cardiology,37,266,977599.56,26421.61,34,0.92,5.59,190,4270.12,811323.55,21927.66,2,0.05,1,2,32458.95,64917.9,1754.54,27,0.73,2.74,74,1369.7,101358.11,2739.41,12953,350.08
90010979 - MARIKINA VALLEY MEDICAL CENTER INC.,90010979,MARIKINA VALLEY MEDICAL CENTER INC.,EDGARD AGUSTIN FORONDA,Cardiology,29,182,759971.6,26205.92,15,0.52,4.27,64,5917.9,378745.53,13060.19,2,0.07,1.5,3,75499.96,226499.89,7810.34,29,1,3.97,115,1345.45,154726.18,5335.39,30700,1058.62
90029034 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029034,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MARIAN JOY ALCANTARA LOPEZ,Cardiology,8,49,209013.68,26126.71,5,0.63,5.8,29,5760.79,167062.95,20882.87,0,0,0,0,0,0,0,8,1,2.5,20,2097.54,41950.73,5243.84,0,0
90020227 - THE MEDICAL CITY,90020227,THE MEDICAL CITY,ZARINA CHANDRU BUDHRANI-MELWANI,Cardiology,103,643,2681731.35,26036.23,70,0.68,4.57,320,5851.27,1872406.01,18178.7,5,0.05,1.2,6,69907.77,419446.61,4072.3,101,0.98,3.14,317,1229.9,389878.73,3785.23,105255,1021.89
33843 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,33843,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,MARIA THERESA UMALI DE TORRES,Cardiology,61,450,1582368.62,25940.47,50,0.82,3.64,182,6378.82,1160945.02,19031.89,2,0.03,1,2,85385.53,170771.06,2799.53,60,0.98,4.43,266,942.3,250652.54,4109.06,61534.39,1008.76
90022560 - THE MEDICAL CITY,90022560,THE MEDICAL CITY,MISAEL TAMONDONG BAYUGA,Cardiology,47,240,1205798.78,25655.29,33,0.7,3.55,117,5507.58,644387.44,13710.37,6,0.13,1,6,75989.73,455938.41,9700.82,37,0.79,3.16,117,901.48,105472.93,2244.1,138740,2951.91
90003847 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90003847,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,ANN MARGARETT POLICARPIO FLORES,Endocrinology,83,569,2129049.62,25651.2,70,0.84,3.57,250,6304.17,1576043.05,18988.47,4,0.05,2,8,37853.58,302828.66,3648.54,75,0.9,4.15,311,804.43,250177.91,3014.19,93518.39,1126.73
90029092 - ASIAN HOSPITAL AND MEDICAL CENTER,90029092,ASIAN HOSPITAL AND MEDICAL CENTER,ALFONSO LAUREANO GUTIERREZ,Cardiology,24,101,615019.52,25625.81,16,0.67,2.25,36,10618.11,382252.12,15927.17,1,0.04,1,1,152000,152000,6333.33,23,0.96,2.78,64,1261.99,80767.4,3365.31,20930,872.08
90009755 - MARIKINA VALLEY MEDICAL CENTER INC.,90009755,MARIKINA VALLEY MEDICAL CENTER INC.,SALVADOR PEDRO GENATO REBULLIDA,Cardiology,11,55,280707.77,25518.89,6,0.55,4,24,5886.17,141268.09,12842.55,1,0.09,1,1,120954,120954,10995.82,10,0.91,3,30,616.19,18485.68,1680.52,10700,972.73
90025517 - MAKATI MEDICAL CENTER,90025517,MAKATI MEDICAL CENTER,,,20,57,505539.06,25276.95,8,0.4,1.88,15,16627.2,249408,12470.4,3,0.15,1,3,70528.74,211586.21,10579.31,19,0.95,2.05,39,1142.18,44544.85,2227.24,51275,2563.75
5280 - ST. LUKE'S MEDICAL CENTER-QC,5280,ST. LUKE'S MEDICAL CENTER-QC,VINCENT V. VALENCIA,Cardiology,109,629,2750732.87,25236.08,71,0.65,3.55,252,6079.93,1532142.45,14056.35,8,0.07,1.13,9,105238.76,947148.84,8689.44,107,0.98,3.44,368,737.61,271441.58,2490.29,145880,1338.35
90014911 - THE MEDICAL CITY,90014911,THE MEDICAL CITY,HANS JEREMY RIVERA RAMOS,Cardiology,20,130,501851.6,25092.58,16,0.8,4.56,73,6038.04,440777.1,22038.86,0,0,0,0,0,0,0,17,0.85,3.35,57,1071.48,61074.5,3053.73,17875,893.75
20568 - ST. LUKE'S MEDICAL CENTER-QC,20568,ST. LUKE'S MEDICAL CENTER-QC,LORA MAY TAN TIN HAY,Cardiology,10,62,250064.49,25006.45,6,0.6,4.83,29,7181.01,208249.21,20824.92,0,0,0,0,0,0,0,10,1,3.3,33,1267.13,41815.28,4181.53,0,0
19651 - MAKATI MEDICAL CENTER,19651,MAKATI MEDICAL CENTER,ARCALUCY M. CABALU,Cardiology,25,109,624944.32,24997.77,14,0.56,2.71,38,10380.3,394451.36,15778.05,2,0.08,1,2,84719.63,169439.26,6777.57,24,0.96,2.88,69,884.84,61053.7,2442.15,34540,1381.6
"90009539 - MEDICAL CENTER MANILA, INC.",90009539,"MEDICAL CENTER MANILA, INC.",JOWETT JARDINE MONTEVERDE GOLANGCO,Endocrinology,28,195,699608.69,24986.02,26,0.93,3.27,85,4407.85,374667.2,13380.97,2,0.07,1,2,110431.25,220862.49,7887.95,27,0.96,4,108,963.69,104079,3717.11,52011.6,1857.56
90023729 - CARDINAL SANTOS MEDICAL CENTER,90023729,CARDINAL SANTOS MEDICAL CENTER,CHARMAINE MARTHA PALAFOX PORQUEZ,Cardiology,14,55,349394.36,24956.74,12,0.86,3.5,42,7514.3,315600.77,22542.91,0,0,0,0,0,0,0,6,0.43,2.17,13,2599.51,33793.59,2413.83,0,0
90026649 - ST. LUKE'S MEDICAL CENTER-QC,90026649,ST. LUKE'S MEDICAL CENTER-QC,MARC JULIUS HERNANDEZ NAVARRO,Gastroenterology,8,33,199505.09,24938.14,7,0.88,3,21,9151.43,192180.09,24022.51,0,0,0,0,0,0,0,6,0.75,2,12,610.42,7325,915.63,5500,687.5
6780 - OUR LADY OF LOURDES HOSPITAL-MANILA,6780,OUR LADY OF LOURDES HOSPITAL-MANILA,MA. ISABEL PABLO SAVILLO,Cardiology,42,244,1043207.57,24838.28,30,0.71,3.03,91,5696.54,518385.1,12342.5,2,0.05,1,2,151837,303674,7230.33,40,0.95,3.78,151,1464.56,221148.47,5265.44,67190,1599.76
90015984 - SAN MATEO MEDICAL CENTER,90015984,SAN MATEO MEDICAL CENTER,ERWIN KHO SARAPUDDIN,Gastroenterology,24,152,595883.9,24828.5,19,0.79,3.63,69,3652.37,252013.2,10500.55,4,0.17,1.25,5,53657.45,268287.23,11178.63,22,0.92,3.55,78,969.02,75583.47,3149.31,43885,1828.54
90028173 - DIVINE GRACE MEDICAL CENTER,90028173,DIVINE GRACE MEDICAL CENTER,ALLEN REYNES MARQUEZ,Cardiology,82,340,2032004.5,24780.54,59,0.72,1.97,116,7412.02,859793.9,10485.29,6,0.07,1.17,7,136183.77,953286.36,11625.44,80,0.98,2.71,217,1008.87,218924.24,2669.81,133908,1633.02
90029996 - ST. LUKE'S MEDICAL CENTER-QC,90029996,ST. LUKE'S MEDICAL CENTER-QC,GLADELYN CAPILI ESCASURA,Cardiology,37,195,916486.93,24769.92,25,0.68,3.64,91,8454.51,769360.49,20793.53,1,0.03,1,1,39770.27,39770.27,1074.87,36,0.97,2.86,103,1042.29,107356.17,2901.52,21463,580.08
90017164 - DILIMAN DOCTORS HOSPITAL INC.,90017164,DILIMAN DOCTORS HOSPITAL INC.,LEORA FLOR PROLLAMANTE MACAPUGAY,Internal Medicine,19,121,470183.93,24746.52,17,0.9,3.59,61,7017.82,428086.87,22530.89,0,0,0,0,0,0,0,19,1,3.16,60,701.62,42097.06,2215.63,23660,1245.26
90029850 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029850,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,BRYAN JAMES TABORADA SANTOS,Cardiology,8,27,197210.32,24651.29,5,0.63,2.2,11,17089.03,187979.32,23497.42,0,0,0,0,0,0,0,8,1,2,16,576.94,9231,1153.88,12870,1608.75
90016047 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90016047,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,MARIA TAMIKO TEVES GREGORIO,Internal Medicine,112,439,2757814.67,24623.35,82,0.73,1.94,159,6519.27,1036563.47,9255.03,11,0.1,1,11,128213.05,1410343.6,12592.35,105,0.94,2.56,269,1155.79,310907.6,2775.96,218299,1949.1
90023577 - DILIMAN DOCTORS HOSPITAL INC.,90023577,DILIMAN DOCTORS HOSPITAL INC.,ARA CRISSELE MALLARI JOSON,Internal Medicine,60,455,1472592.55,24543.21,54,0.9,4.04,218,5694.41,1241382.11,20689.7,1,0.02,1,1,71206.56,71206.56,1186.78,57,0.95,4.14,236,677.98,160003.88,2666.73,29290,488.17
90024591 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90024591,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,RAMAYANA DIAZ GARCIA,Cardiology,39,175,950819.5,24379.99,28,0.72,2.57,72,10546.48,759346.9,19470.43,1,0.03,1,1,53742.59,53742.59,1378.02,38,0.97,2.68,102,1350.29,137730.01,3531.54,12670,324.87
90019824 - DIVINE GRACE MEDICAL CENTER,90019824,DIVINE GRACE MEDICAL CENTER,LISETTE DOROTHY MENDOZA OCAMPO,Endocrinology,42,211,1023340.08,24365.24,39,0.93,2.15,84,7847.43,659184.35,15694.87,3,0.07,1,3,71529.38,214588.13,5109.24,40,0.95,3.1,124,1206.19,149567.6,3561.13,42950,1022.62
"2446 - MEDICAL CENTER MANILA, INC.",2446,"MEDICAL CENTER MANILA, INC.",JORGE A. SISON,Cardiology,107,691,2602966.77,24326.79,79,0.74,3.53,279,5180.53,1445368.88,13508.12,7,0.07,1.29,9,70261.38,632352.43,5909.84,105,0.98,3.84,403,1303.34,525245.46,4908.84,186640,1744.3
90017398 - DILIMAN DOCTORS HOSPITAL INC.,90017398,DILIMAN DOCTORS HOSPITAL INC.,RACHEL ROSE ORTEZA DEL ROSARIO,Cardiology,14,69,340344.89,24310.35,7,0.5,4.29,30,5464.58,163937.5,11709.82,1,0.07,1,1,133111.18,133111.18,9507.94,13,0.93,2.92,38,1139.37,43296.21,3092.59,34880,2491.43
"21361 - MANILA EAST MEDICAL CENTER, INC.",21361,"MANILA EAST MEDICAL CENTER, INC.",MARCO AURELIO PERALTA CASTILLO,Cardiology,41,332,993106.62,24222.11,32,0.78,5.09,163,4302.18,701255.03,17103.78,2,0.05,1.5,3,60064.79,180194.36,4394.98,41,1,4.05,166,672.63,111657.23,2723.35,43900,1070.73
"3466 - MANILA EAST MEDICAL CENTER, INC.",3466,"MANILA EAST MEDICAL CENTER, INC.",VIRGIE TOLENTINO VITOR,Internal Medicine,37,264,895422.77,24200.62,31,0.84,3.97,123,3941.4,484791.98,13102.49,3,0.08,1.67,5,58329.68,291648.39,7882.39,35,0.95,3.89,136,874.87,118982.4,3215.74,55211,1492.19
90022523 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90022523,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,FELIMON KALINISAN MORALES JR.,Internal Medicine,27,124,653405.8,24200.21,16,0.59,3.31,53,5325.43,282247.87,10453.62,2,0.07,1.5,3,88856.71,266570.14,9872.97,25,0.93,2.72,68,1538.06,104587.79,3873.62,41600,1540.74
34513 - THE MEDICAL CITY,34513,THE MEDICAL CITY,AGAPITO S. FORTUNO JR.,Cardiology,40,240,961229.84,24030.75,28,0.7,4.36,122,4979.85,607541.32,15188.53,2,0.05,1.5,3,53392.46,160177.38,4004.43,39,0.98,2.95,115,1682.71,193511.14,4837.78,19232,480.8
90024072 - CARDINAL SANTOS MEDICAL CENTER,90024072,CARDINAL SANTOS MEDICAL CENTER,RYAN PAUL PARILLA ASTUDILLO,Cardiology,58,322,1387285.87,23918.72,45,0.78,3.67,165,5624.33,928013.71,16000.24,4,0.07,1,4,79945.33,319781.32,5513.47,56,0.97,2.73,153,911.7,139490.84,2405.01,41262,711.41
90011051 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90011051,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MARCO POCA ANTOLIN,Cardiology,69,368,1642178.46,23799.69,47,0.68,2.96,139,7391.33,1027394.8,14889.78,5,0.07,1.2,6,73623.16,441738.96,6402.01,69,1,3.23,223,775.99,173044.7,2507.89,73560,1066.09
90026353 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90026353,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FLORENCE ROCHELLE CHUA GAN,Endocrinology,8,46,188730.76,23591.35,6,0.75,4.5,27,6573.55,177485.76,22185.72,0,0,0,0,0,0,0,7,0.88,2.71,19,591.84,11245,1405.63,0,0
90011747 - ASIAN HOSPITAL AND MEDICAL CENTER,90011747,ASIAN HOSPITAL AND MEDICAL CENTER,CARLO FRANCISCO SANTOS GOCHUICO,Gastroenterology,22,85,518612.99,23573.32,16,0.73,2.44,39,10676.07,416366.83,18925.77,0,0,0,0,0,0,0,18,0.82,2.56,46,2222.74,102246.16,4647.55,17550,797.73
90019755 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90019755,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,ARNEL FLORES LIM,Internal Medicine,38,189,895414.58,23563.54,30,0.79,2.43,73,4497.34,328305.68,8639.62,3,0.08,1.33,4,109385.7,437542.79,11514.28,35,0.92,3.2,112,1156.84,129566.11,3409.63,44292,1165.58
9048 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,9048,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MA. ROWENA V. LUCAS-LINGA,Internal Medicine,9,58,211169.14,23463.24,8,0.89,4.13,33,4830.04,159391.19,17710.13,1,0.11,1,1,38455.95,38455.95,4272.88,7,0.78,3.43,24,555.08,13322,1480.22,17790,1976.67
90022603 - ST. LUKE'S MEDICAL CENTER-QC,90022603,ST. LUKE'S MEDICAL CENTER-QC,ABONDINO GONZALEZ YUNQUE JR,Cardiology,24,150,561492.18,23395.51,19,0.79,4.58,87,6013.02,523132.84,21797.2,0,0,0,0,0,0,0,18,0.75,3.5,63,608.88,38359.34,1598.31,0,0
90023393 - THE MEDICAL CITY,90023393,THE MEDICAL CITY,FRANCIS CHARLES LAZO FERNANDEZ,Cardiology,12,48,280688.35,23390.7,5,0.42,3,15,13163.22,197448.24,16454.02,0,0,0,0,0,0,0,12,1,2.75,33,2522.43,83240.11,6936.68,10530,877.5
90029271 - ASIAN HOSPITAL AND MEDICAL CENTER,90029271,ASIAN HOSPITAL AND MEDICAL CENTER,ROI JOSEPH VICTORIA MENDOZA,Cardiology,31,155,721609.87,23277.74,19,0.61,3.42,65,9153.22,594959.51,19192.24,1,0.03,1,1,74000,74000,2387.1,28,0.9,3.18,89,591.58,52650.36,1698.4,13910,448.71
90020749 - DILIMAN DOCTORS HOSPITAL INC.,90020749,DILIMAN DOCTORS HOSPITAL INC.,LESTER SY UY,Cardiology,37,218,859025.72,23216.91,30,0.81,3.4,102,7207.52,735167.42,19869.39,0,0,0,0,0,0,0,37,1,3.14,116,1067.74,123858.3,3347.52,36120,976.22
90019889 - MAKATI MEDICAL CENTER,90019889,MAKATI MEDICAL CENTER,ALEJANDRO RAMON RUFINO PRIETO JR.,Cardiology,28,96,648160.11,23148.58,17,0.61,2.35,40,13355.98,534239.11,19079.97,0,0,0,0,0,0,0,25,0.89,2.24,56,2034.3,113921,4068.61,22080,788.57
90008350 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90008350,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JOHN DAVID SANCHEZ TAN,Cardiology,25,94,578522.38,23140.9,20,0.8,2.6,52,9874.39,513468.4,20538.74,0,0,0,0,0,0,0,16,0.64,2.63,42,1548.9,65053.98,2602.16,4900,196
"90020861 - MEDICAL CENTER MANILA, INC.",90020861,"MEDICAL CENTER MANILA, INC.",ARIEL DASAS VALONES,Cardiology,12,39,276607.35,23050.61,8,0.67,2,16,6491.33,103861.2,8655.1,1,0.08,1,1,145000,145000,12083.33,12,1,1.83,22,1261.19,27746.15,2312.18,30000,2500
12555 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,12555,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,VINCENT R. SINAY,Cardiology,9,66,206768.68,22974.3,5,0.56,5.6,28,3347,93716.1,10412.9,2,0.22,1,2,44211.32,88422.64,9824.74,7,0.78,5.14,36,684.17,24629.94,2736.66,27300,3033.33
90014821 - CARDINAL SANTOS MEDICAL CENTER,90014821,CARDINAL SANTOS MEDICAL CENTER,MICHAEL ANTHONY AYRAN DELA CRUZ,Cardiology,56,280,1281272.64,22879.87,42,0.75,3.64,153,5659.57,865913.97,15462.75,2,0.04,1,2,138425,276850,4943.75,48,0.86,2.6,125,1108.07,138508.67,2473.37,63750,1138.39
90022848 - DILIMAN DOCTORS HOSPITAL INC.,90022848,DILIMAN DOCTORS HOSPITAL INC.,CHARLENE ANN VICENCIO BALILI,Internal Medicine,14,92,319494.03,22821,9,0.64,4.56,41,6669.01,273429.27,19530.66,0,0,0,0,0,0,0,13,0.93,3.92,51,903.23,46064.76,3290.34,5400,385.71
36042 - MAKATI MEDICAL CENTER,36042,MAKATI MEDICAL CENTER,ELIZABETH DIAZ SERRA-SANTOS,Cardiology,9,49,205116.3,22790.7,8,0.89,3.63,29,6659.6,193128.3,21458.7,0,0,0,0,0,0,0,8,0.89,2.5,20,599.4,11988,1332,0,0
27092 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,27092,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,AMELITA R. GUZON,Family Medicine,49,232,1108329.23,22618.96,41,0.84,2.68,110,5183.91,570230.29,11637.35,4,0.08,1.25,5,77850.03,389250.17,7943.88,45,0.92,2.6,117,1272.21,148848.77,3037.73,64627.87,1318.94
90015521 - DILIMAN DOCTORS HOSPITAL INC.,90015521,DILIMAN DOCTORS HOSPITAL INC.,CRISTINA CAMELLA PEREZ MONTES,Internal Medicine,45,313,1017244.17,22605.43,40,0.89,3.63,145,5083.16,737058.26,16379.07,1,0.02,1,1,124000,124000,2755.56,42,0.93,3.98,167,935.24,156185.91,3470.8,31020,689.33
30462 - MAKATI MEDICAL CENTER,30462,MAKATI MEDICAL CENTER,JOSE MARIA L. ANSON,Nephrology,10,56,225845.8,22584.58,5,0.5,4,20,9563.55,191271,19127.1,0,0,0,0,0,0,0,9,0.9,4,36,960.41,34574.8,3457.48,9600,960
3163 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,3163,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,ROMANITO CHUA CABALONA,Cardiology,278,1036,6263465.4,22530.45,278,1,2.42,672,6029.79,4052019.05,14575.61,12,0.04,1.33,16,95782.52,1532520.32,5512.66,116,0.42,3,348,1950.94,678926.03,2442.18,354625.83,1275.63
22771 - MARIKINA VALLEY MEDICAL CENTER INC.,22771,MARIKINA VALLEY MEDICAL CENTER INC.,RODRIGO CALALANG SANTOS,Cardiology,87,473,1956384.44,22487.18,61,0.7,3.3,201,6265.39,1259344.07,14475.22,4,0.05,1,4,109404.76,437619.02,5030.1,84,0.97,3.19,268,967.99,259421.35,2981.85,73320,842.76
90009667 - THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,90009667,THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,SHAULA MENDOZA CABREROS,Internal Medicine,15,84,336620.5,22441.37,12,0.8,2.67,32,5594.25,179016.1,11934.41,1,0.07,1,1,125545.84,125545.84,8369.72,15,1,3.4,51,628.6,32058.56,2137.24,26400,1760
90003847 - THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,90003847,THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,ANN MARGARETT POLICARPIO FLORES,Endocrinology,21,99,469931.74,22377.7,16,0.76,2.56,41,7502.27,307593.2,14647.3,1,0.05,1,1,101000,101000,4809.52,21,1,2.71,57,1076.11,61338.54,2920.88,26110,1243.33
90030236 - DILIMAN DOCTORS HOSPITAL INC.,90030236,DILIMAN DOCTORS HOSPITAL INC.,HERVIN DAMLER AGASID TANG,Internal Medicine,44,214,981935.13,22316.71,40,0.91,2.8,112,6129.36,686488.74,15602.02,1,0.02,1,1,47000,47000,1068.18,34,0.77,2.97,101,2459.87,248446.39,5646.51,40390,917.95
90028464 - DILIMAN DOCTORS HOSPITAL INC.,90028464,DILIMAN DOCTORS HOSPITAL INC.,RAMON CHRISTOPHER TUMIBAY MENDOZA,Cardiology,27,105,599159.85,22191.11,14,0.52,3.14,44,5255.83,231256.7,8565.06,2,0.07,1,2,148734.28,297468.55,11017.35,27,1,2.19,59,1193.81,70434.6,2608.69,39600,1466.67
31870 - MARIKINA VALLEY MEDICAL CENTER INC.,31870,MARIKINA VALLEY MEDICAL CENTER INC.,JEROME OLIQUINO LACEDA,Cardiology,44,211,971116.8,22070.84,32,0.73,3.19,102,6551.6,668263.68,15187.81,4,0.09,1,4,44413.18,177652.71,4037.56,38,0.86,2.76,105,1192.38,125200.41,2845.46,22680,515.45
26423 - MAKATI MEDICAL CENTER,26423,MAKATI MEDICAL CENTER,CHARLES TADEO OCAMPO GALANG,Cardiology,37,167,813025.15,21973.65,21,0.57,3.14,66,7636.54,504011.6,13621.94,3,0.08,1,3,60548.67,181646,4909.35,36,0.97,2.72,98,1299.67,127367.55,3442.37,19862.5,536.82
6827 - OUR LADY OF LOURDES HOSPITAL-MANILA,6827,OUR LADY OF LOURDES HOSPITAL-MANILA,ALFREDO ROMEO SANTOS,Cardiology,17,88,372555.36,21915.02,15,0.88,2.4,36,2664.1,95907.68,5641.63,2,0.12,1,2,119737.65,239475.3,14086.78,17,1,2.94,50,743.45,37172.38,2186.61,27700,1629.41
90009502 - ASIAN HOSPITAL AND MEDICAL CENTER,90009502,ASIAN HOSPITAL AND MEDICAL CENTER,MARGRETTE RUTH LAMPA BERNARDO,Internal Medicine,7,26,153360.32,21908.62,3,0.43,2.33,7,14889.94,104229.6,14889.94,1,0.14,1,1,39680.72,39680.72,5668.67,6,0.86,3,18,525,9450,1350,20070,2867.14
19432 - ASIAN HOSPITAL AND MEDICAL CENTER,19432,ASIAN HOSPITAL AND MEDICAL CENTER,JOSE CELSO FESTEJO NOVENARIO,Gastroenterology,9,24,197160,21906.67,7,0.78,2.86,20,9598,191960,21328.89,0,0,0,0,0,0,0,3,0.33,1.33,4,1300,5200,577.78,5400,600
90016794 - MANILA DOCTORS HOSPITAL,90016794,MANILA DOCTORS HOSPITAL,ALLAN ASANA LIM,Cardiology,125,787,2732499.62,21860,80,0.64,4.75,380,5265.69,2000963.79,16007.71,3,0.02,1.33,4,76174.49,304697.98,2437.58,123,0.98,3.28,403,1059.15,426837.85,3414.7,220000,1760
39881 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,39881,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MILAGROS REBOSURA EINANLOO,Internal Medicine,8,62,174267.41,21783.43,7,0.88,3.29,23,3922.36,90214.2,11276.78,1,0.13,1,1,48281.86,48281.86,6035.23,8,1,4.75,38,941.35,35771.35,4471.42,7150,893.75
90022883 - THE MEDICAL CITY,90022883,THE MEDICAL CITY,KATRINA MAE SALCEDO GAMPONIA,Internal Medicine,26,162,565717.5,21758.37,17,0.65,3.94,67,6058.4,405912.62,15612.02,2,0.08,1,2,34570.09,69140.17,2659.24,25,0.96,3.72,93,974.89,90664.71,3487.1,17400,669.23
90025734 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90025734,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,GRACE SHEILA PONCE SORIA,Internal Medicine,23,100,499670.67,21724.81,15,0.65,1.93,29,8686.99,251922.62,10953.16,2,0.09,1,2,74784.98,149569.96,6503.04,21,0.91,3.29,69,1422.87,98178.09,4268.61,25680,1116.52
39682 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,39682,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,DONALD CODILLA CRISTOBAL,Cardiology,14,53,301483.6,21534.54,13,0.93,2.38,31,8936.37,277027.6,19787.69,0,0,0,0,0,0,0,9,0.64,2.44,22,1111.64,24456,1746.86,0,0
90005933 - MAKATI MEDICAL CENTER,90005933,MAKATI MEDICAL CENTER,ROJOHN RAZ MALIWAT,Cardiology,54,251,1157500.27,21435.19,33,0.61,3.33,110,7791.78,857096.31,15872.15,2,0.04,1,2,99524.8,199049.6,3686.1,54,1,2.57,139,729.17,101354.36,1876.93,57380,1062.59
90002876 - MARIKINA VALLEY MEDICAL CENTER INC.,90002876,MARIKINA VALLEY MEDICAL CENTER INC.,NERISSA DE GUZMAN BINOYA,Internal Medicine,77,365,1638429.64,21278.31,52,0.68,2.79,145,6972.1,1010955.2,13129.29,5,0.06,1.2,6,62209.15,373254.9,4847.47,77,1,2.78,214,1187.94,254219.54,3301.55,34767,451.52
2090 - DIVINE GRACE MEDICAL CENTER,2090,DIVINE GRACE MEDICAL CENTER,AMELIA DY FRANCISCO,OB-GYNE,165,590,3498548.49,21203.32,157,0.95,2.2,345,5689.51,1962881,11896.25,8,0.05,1.13,9,142212.86,1279915.7,7757.06,89,0.54,2.65,236,1083.69,255751.79,1550.01,252695,1531.48
90025256 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90025256,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FE-AILEEN FELICIANO ARELLANO-SIMON,Cardiology,19,72,402673.15,21193.32,9,0.47,3.11,28,7371.98,206415.3,10863.96,1,0.05,2,2,86773.93,173547.85,9134.1,18,0.95,2.33,42,540.71,22710,1195.26,24100,1268.42
"542 - MANILA EAST MEDICAL CENTER, INC.",542,"MANILA EAST MEDICAL CENTER, INC.",BENJAMIN EDSEL V. MALAYA,Gastroenterology,14,90,296612.62,21186.62,10,0.71,4.3,43,4674.01,200982.57,14355.9,1,0.07,1,1,32000,32000,2285.71,12,0.86,3.83,46,1383.26,63630.05,4545,30820,2201.43
90029688 - SAN MATEO MEDICAL CENTER,90029688,SAN MATEO MEDICAL CENTER,ALDWIN RAY LAPUZ PAMPLONA,Internal Medicine,40,235,847399.96,21185,34,0.85,3.18,108,3251.85,351200.07,8780,3,0.08,1.33,4,70855.09,283420.37,7085.51,39,0.98,3.15,123,1729.91,212779.52,5319.49,45040,1126
90010065 - DILIMAN DOCTORS HOSPITAL INC.,90010065,DILIMAN DOCTORS HOSPITAL INC.,HAYDEE BULURAN FLORES,Cardiology,35,167,740590.35,21159.72,28,0.8,2.96,83,5847.29,485325.4,13866.44,2,0.06,1,2,69955.15,139910.3,3997.44,35,1,2.34,82,1406.76,115354.65,3295.85,29055,830.14
