physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
"90010767 - MANILA EAST MEDICAL CENTER, INC.",90010767,"MANILA EAST MEDICAL CENTER, INC.",RYAN FELIX TIPON,Internal Medicine,28,195,783260.80,27973.60,22.00,0.79,4.23,93.00,4344.37,404026.53,14429.52,5.00,0.18,1.00,5.00,57698.83,288494.13,10303.36,28.00,1.00,3.46,97.00,935.47,90740.14,3240.72,50455.00,1801.96
90017750 - SAN MATEO MEDICAL CENTER,90017750,SAN MATEO MEDICAL CENTER,RALPH LAURENCE ATIENZA CARANDANG,Cardiology,22,139,615357.90,27970.81,19.00,0.86,3.21,61.00,3966.90,241980.74,10999.12,3.00,0.14,2.00,6.00,45041.05,270246.30,12283.92,21.00,0.95,3.43,72.00,1432.37,103130.86,4687.77,48762.59,2216.48
1736 - MANILA DOCTORS HOSPITAL,1736,MANILA DOCTORS HOSPITAL,ANTHONY C. LEACHON,Cardiology,80,411,2229386.84,27867.34,51.00,0.64,3.88,198.00,6165.92,1220851.61,15260.65,5.00,0.06,1.60,8.00,95268.60,762148.82,9526.86,73.00,0.91,2.81,205.00,1201.88,246386.41,3079.83,145477.00,1818.46
17951 - MARIKINA VALLEY MEDICAL CENTER INC.,17951,MARIKINA VALLEY MEDICAL CENTER INC.,ELNORA SALOME F. FORTU,Cardiology,11,74,306083.63,27825.78,8.00,0.73,3.50,28.00,6654.35,186321.76,16938.34,1.00,0.09,1.00,1.00,79837.42,79837.42,7257.95,11.00,1.00,4.09,45.00,887.21,39924.45,3629.50,20670.00,1879.09
90010496 - ST. LUKE'S MEDICAL CENTER-QC,90010496,ST. LUKE'S MEDICAL CENTER-QC,VISVANATH EREVE ESPALDON,Cardiology,8,44,222501.40,27812.68,6.00,0.75,4.00,24.00,8791.73,211001.40,26375.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,2.50,20.00,575.00,11500.00,1437.50,0.00,0.00
23341 - THE MEDICAL CITY,23341,THE MEDICAL CITY,JOSE PAOLO ALTO PRADO,Cardiology,23,137,638689.87,27769.12,16.00,0.70,4.94,79.00,4619.53,364942.73,15867.08,2.00,0.09,1.00,2.00,104588.35,209176.69,9094.64,20.00,0.87,2.80,56.00,1153.04,64570.45,2807.41,28000.00,1217.39
4371 - ST. LUKE'S MEDICAL CENTER-QC,4371,ST. LUKE'S MEDICAL CENTER-QC,NESTOR LOTHO SANTIAGO,Internal Medicine,56,215,1552357.57,27720.67,43.00,0.77,2.91,125.00,7487.54,935942.90,16713.27,4.00,0.07,1.25,5.00,98364.43,491822.13,8782.54,32.00,0.57,2.66,85.00,1465.79,124592.54,2224.87,50700.00,905.36
31931 - ST. LUKE'S MEDICAL CENTER-QC,31931,ST. LUKE'S MEDICAL CENTER-QC,EDUARDO LIM TIN HAY,Cardiology,11,39,303354.84,27577.71,9.00,0.82,1.89,17.00,15752.00,267784.08,24344.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,1.00,2.00,22.00,1616.85,35570.76,3233.71,15000.00,1363.64
90028516 - DIVINE GRACE MEDICAL CENTER,90028516,DIVINE GRACE MEDICAL CENTER,RAPONCEL GARCIA TAN,Cardiology,18,78,494292.99,27460.72,14.00,0.78,2.07,29.00,8568.87,248497.21,13805.40,1.00,0.06,1.00,1.00,209804.00,209804.00,11655.78,18.00,1.00,2.67,48.00,749.83,35991.78,1999.54,36855.00,2047.50
90016449 - ASIAN HOSPITAL AND MEDICAL CENTER,90016449,ASIAN HOSPITAL AND MEDICAL CENTER,PAMELA ANN TORRES ARIBON,Internal Medicine,9,48,246562.70,27395.86,8.00,0.89,2.00,16.00,12472.30,199556.85,22172.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,1.00,3.56,32.00,1468.93,47005.85,5222.87,0.00,0.00
90013926 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90013926,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,EDITHA PATINO JACER,Cardiology,13,85,354734.83,27287.29,11.00,0.85,3.00,33.00,6015.08,198497.50,15269.04,2.00,0.15,1.00,2.00,62771.17,125542.34,9657.10,11.00,0.85,4.55,50.00,613.90,30694.99,2361.15,27165.00,2089.62
8775 - MANILA DOCTORS HOSPITAL,8775,MANILA DOCTORS HOSPITAL,NOEMI S. PESTANO,Cardiology,14,106,381659.67,27261.41,9.00,0.64,6.44,58.00,4909.27,284737.58,20338.40,2.00,0.14,1.00,2.00,35461.05,70922.09,5065.86,13.00,0.93,3.54,46.00,565.22,26000.00,1857.14,37120.00,2651.43
90019816 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90019816,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MARLON BAUTISTA MANICAD,Cardiology,205,1085,5583414.27,27236.17,161.00,0.79,2.98,479.00,8588.58,4113927.62,20067.94,16.00,0.08,1.06,17.00,55321.52,940465.87,4587.64,197.00,0.96,2.99,589.00,898.17,529020.78,2580.59,212495.00,1036.56
21972 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,21972,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ROMEO CAOAGDAN GRIÃ‘O JR.,Cardiology,19,84,514751.92,27092.21,14.00,0.74,2.14,30.00,10629.84,318895.29,16783.96,2.00,0.11,1.00,2.00,70050.32,140100.63,7373.72,19.00,1.00,2.74,52.00,1072.23,55756.00,2934.53,34400.00,1810.53
90015671 - MAKATI MEDICAL CENTER,90015671,MAKATI MEDICAL CENTER,MARIA PRINCESS LANDICHO KANAPI,Endocrinology,29,194,785634.18,27090.83,22.00,0.76,4.09,90.00,6354.28,571885.40,19720.19,1.00,0.03,1.00,1.00,70672.10,70672.10,2436.97,28.00,0.97,3.68,103.00,1389.09,143076.68,4933.68,13030.00,449.31
38661 - THE MEDICAL CITY,38661,THE MEDICAL CITY,VICTOR LABRADOR LAZARO,Cardiology,114,774,3057832.20,26823.09,80.00,0.70,4.93,394.00,5585.21,2200574.33,19303.28,6.00,0.05,1.00,6.00,85079.02,510474.10,4477.84,109.00,0.96,3.43,374.00,927.23,346783.77,3041.96,223825.00,1963.38
90023536 - ASIAN HOSPITAL AND MEDICAL CENTER,90023536,ASIAN HOSPITAL AND MEDICAL CENTER,JAIME ALFONSO MANALO AHERRERA,Interventional Cardiology,63,232,1682457.70,26705.68,38.00,0.60,2.16,82.00,10457.60,857523.41,13611.48,4.00,0.06,1.25,5.00,128144.41,640722.05,10170.19,60.00,0.95,2.42,145.00,1270.43,184212.24,2924.00,103930.00,1649.68
90030269 - ASIAN HOSPITAL AND MEDICAL CENTER,90030269,ASIAN HOSPITAL AND MEDICAL CENTER,JANELLE DELOS REYES ENERO,Cardiology,46,204,1227588.52,26686.71,35.00,0.76,2.54,89.00,12139.80,1080441.78,23487.86,1.00,0.02,1.00,1.00,20000.00,20000.00,434.78,45.00,0.98,2.53,114.00,1115.32,127146.74,2764.06,20220.00,439.57
6231 - ST. LUKE'S MEDICAL CENTER-QC,6231,ST. LUKE'S MEDICAL CENTER-QC,TERESITA LAURIO VALDEMORO,Internal Medicine,12,47,320225.60,26685.47,8.00,0.67,2.50,20.00,9367.68,187353.60,15612.80,1.00,0.08,1.00,1.00,119000.00,119000.00,9916.67,12.00,1.00,2.17,26.00,533.54,13872.00,1156.00,11466.00,955.50
19851 - ASIAN HOSPITAL AND MEDICAL CENTER,19851,ASIAN HOSPITAL AND MEDICAL CENTER,PELAGIO LIMPIADA ESMAQUEL JR.,Nephrology,9,38,239788.91,26643.21,7.00,0.78,2.57,18.00,10621.11,191179.91,21242.21,1.00,0.11,1.00,1.00,37731.00,37731.00,4192.33,8.00,0.89,2.38,19.00,572.53,10878.00,1208.67,5915.00,657.22
"2034 - MANILA EAST MEDICAL CENTER, INC.",2034,"MANILA EAST MEDICAL CENTER, INC.",RONAN CHRISTIAN B. MINA,Cardiology,130,885,3446473.82,26511.34,108.00,0.83,4.42,477.00,4399.11,2098377.02,16141.36,13.00,0.10,1.15,15.00,61944.73,929170.93,7147.47,115.00,0.88,3.42,393.00,1065.97,418925.87,3222.51,120125.00,924.04
"90012253 - MEDICAL CENTER MANILA, INC.",90012253,"MEDICAL CENTER MANILA, INC.",CRISTINE CATINDIG SANTELICES,Cardiology,19,128,503070.38,26477.39,17.00,0.90,3.76,64.00,5999.27,383953.02,20208.05,1.00,0.05,1.00,1.00,31051.00,31051.00,1634.26,19.00,1.00,3.32,63.00,1397.88,88066.36,4635.07,19580.00,1030.53
90029398 - THE MEDICAL CITY,90029398,THE MEDICAL CITY,KRISTELA ARANJUEZ CHIU,Cardiology,30,162,793059.13,26435.30,19.00,0.63,3.79,72.00,5774.22,415744.14,13858.14,3.00,0.10,1.00,3.00,89679.90,269039.70,8967.99,29.00,0.97,3.00,87.00,1244.54,108275.29,3609.18,47185.00,1572.83
20371 - ASIAN HOSPITAL AND MEDICAL CENTER,20371,ASIAN HOSPITAL AND MEDICAL CENTER,JAY MICHAEL VITE YASON,Cardiology,15,94,396429.13,26428.61,11.00,0.73,3.55,39.00,7729.75,301460.30,20097.35,1.00,0.07,1.00,1.00,61822.51,61822.51,4121.50,15.00,1.00,3.60,54.00,613.82,33146.32,2209.75,5460.00,364.00
22771 - THE MEDICAL CITY,22771,THE MEDICAL CITY,RODRIGO CALALANG SANTOS,Cardiology,37,266,977599.56,26421.61,34.00,0.92,5.59,190.00,4270.12,811323.55,21927.66,2.00,0.05,1.00,2.00,32458.95,64917.90,1754.54,27.00,0.73,2.74,74.00,1369.70,101358.11,2739.41,12953.00,350.08
90010979 - MARIKINA VALLEY MEDICAL CENTER INC.,90010979,MARIKINA VALLEY MEDICAL CENTER INC.,EDGARD AGUSTIN FORONDA,Cardiology,29,182,759971.60,26205.92,15.00,0.52,4.27,64.00,5917.90,378745.53,13060.19,2.00,0.07,1.50,3.00,75499.96,226499.89,7810.34,29.00,1.00,3.97,115.00,1345.45,154726.18,5335.39,30700.00,1058.62
90029034 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029034,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MARIAN JOY ALCANTARA LOPEZ,Cardiology,8,49,209013.68,26126.71,5.00,0.63,5.80,29.00,5760.79,167062.95,20882.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,2.50,20.00,2097.54,41950.73,5243.84,0.00,0.00
90020227 - THE MEDICAL CITY,90020227,THE MEDICAL CITY,ZARINA CHANDRU BUDHRANI-MELWANI,Cardiology,103,643,2681731.35,26036.23,70.00,0.68,4.57,320.00,5851.27,1872406.01,18178.70,5.00,0.05,1.20,6.00,69907.77,419446.61,4072.30,101.00,0.98,3.14,317.00,1229.90,389878.73,3785.23,105255.00,1021.89
33843 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,33843,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,MARIA THERESA UMALI DE TORRES,Cardiology,61,450,1582368.62,25940.47,50.00,0.82,3.64,182.00,6378.82,1160945.02,19031.89,2.00,0.03,1.00,2.00,85385.53,170771.06,2799.53,60.00,0.98,4.43,266.00,942.30,250652.54,4109.06,61534.39,1008.76
90022560 - THE MEDICAL CITY,90022560,THE MEDICAL CITY,MISAEL TAMONDONG BAYUGA,Cardiology,47,240,1205798.78,25655.29,33.00,0.70,3.55,117.00,5507.58,644387.44,13710.37,6.00,0.13,1.00,6.00,75989.73,455938.41,9700.82,37.00,0.79,3.16,117.00,901.48,105472.93,2244.10,138740.00,2951.91
90003847 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90003847,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,ANN MARGARETT POLICARPIO FLORES,Endocrinology,83,569,2129049.62,25651.20,70.00,0.84,3.57,250.00,6304.17,1576043.05,18988.47,4.00,0.05,2.00,8.00,37853.58,302828.66,3648.54,75.00,0.90,4.15,311.00,804.43,250177.91,3014.19,93518.39,1126.73
90029092 - ASIAN HOSPITAL AND MEDICAL CENTER,90029092,ASIAN HOSPITAL AND MEDICAL CENTER,ALFONSO LAUREANO GUTIERREZ,Cardiology,24,101,615019.52,25625.81,16.00,0.67,2.25,36.00,10618.11,382252.12,15927.17,1.00,0.04,1.00,1.00,152000.00,152000.00,6333.33,23.00,0.96,2.78,64.00,1261.99,80767.40,3365.31,20930.00,872.08
90009755 - MARIKINA VALLEY MEDICAL CENTER INC.,90009755,MARIKINA VALLEY MEDICAL CENTER INC.,SALVADOR PEDRO GENATO REBULLIDA,Cardiology,11,55,280707.77,25518.89,6.00,0.55,4.00,24.00,5886.17,141268.09,12842.55,1.00,0.09,1.00,1.00,120954.00,120954.00,10995.82,10.00,0.91,3.00,30.00,616.19,18485.68,1680.52,10700.00,972.73
90025517 - MAKATI MEDICAL CENTER,90025517,MAKATI MEDICAL CENTER,N/A,N/A,20,57,505539.06,25276.95,8.00,0.40,1.88,15.00,16627.20,249408.00,12470.40,3.00,0.15,1.00,3.00,70528.74,211586.21,10579.31,19.00,0.95,2.05,39.00,1142.18,44544.85,2227.24,51275.00,2563.75
5280 - ST. LUKE'S MEDICAL CENTER-QC,5280,ST. LUKE'S MEDICAL CENTER-QC,VINCENT V. VALENCIA,Cardiology,109,629,2750732.87,25236.08,71.00,0.65,3.55,252.00,6079.93,1532142.45,14056.35,8.00,0.07,1.13,9.00,105238.76,947148.84,8689.44,107.00,0.98,3.44,368.00,737.61,271441.58,2490.29,145880.00,1338.35
90014911 - THE MEDICAL CITY,90014911,THE MEDICAL CITY,HANS JEREMY RIVERA RAMOS,Cardiology,20,130,501851.60,25092.58,16.00,0.80,4.56,73.00,6038.04,440777.10,22038.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.85,3.35,57.00,1071.48,61074.50,3053.73,17875.00,893.75
20568 - ST. LUKE'S MEDICAL CENTER-QC,20568,ST. LUKE'S MEDICAL CENTER-QC,LORA MAY TAN TIN HAY,Cardiology,10,62,250064.49,25006.45,6.00,0.60,4.83,29.00,7181.01,208249.21,20824.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00,3.30,33.00,1267.13,41815.28,4181.53,0.00,0.00
19651 - MAKATI MEDICAL CENTER,19651,MAKATI MEDICAL CENTER,ARCALUCY M. CABALU,Cardiology,25,109,624944.32,24997.77,14.00,0.56,2.71,38.00,10380.30,394451.36,15778.05,2.00,0.08,1.00,2.00,84719.63,169439.26,6777.57,24.00,0.96,2.88,69.00,884.84,61053.70,2442.15,34540.00,1381.60
"90009539 - MEDICAL CENTER MANILA, INC.",90009539,"MEDICAL CENTER MANILA, INC.",JOWETT JARDINE MONTEVERDE GOLANGCO,Endocrinology,28,195,699608.69,24986.02,26.00,0.93,3.27,85.00,4407.85,374667.20,13380.97,2.00,0.07,1.00,2.00,110431.25,220862.49,7887.95,27.00,0.96,4.00,108.00,963.69,104079.00,3717.11,52011.60,1857.56
90023729 - CARDINAL SANTOS MEDICAL CENTER,90023729,CARDINAL SANTOS MEDICAL CENTER,CHARMAINE MARTHA PALAFOX PORQUEZ,Cardiology,14,55,349394.36,24956.74,12.00,0.86,3.50,42.00,7514.30,315600.77,22542.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.43,2.17,13.00,2599.51,33793.59,2413.83,0.00,0.00
90026649 - ST. LUKE'S MEDICAL CENTER-QC,90026649,ST. LUKE'S MEDICAL CENTER-QC,MARC JULIUS HERNANDEZ NAVARRO,Gastroenterology,8,33,199505.09,24938.14,7.00,0.88,3.00,21.00,9151.43,192180.09,24022.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.75,2.00,12.00,610.42,7325.00,915.63,5500.00,687.50
6780 - OUR LADY OF LOURDES HOSPITAL-MANILA,6780,OUR LADY OF LOURDES HOSPITAL-MANILA,MA. ISABEL PABLO SAVILLO,Cardiology,42,244,1043207.57,24838.28,30.00,0.71,3.03,91.00,5696.54,518385.10,12342.50,2.00,0.05,1.00,2.00,151837.00,303674.00,7230.33,40.00,0.95,3.78,151.00,1464.56,221148.47,5265.44,67190.00,1599.76
90015984 - SAN MATEO MEDICAL CENTER,90015984,SAN MATEO MEDICAL CENTER,ERWIN KHO SARAPUDDIN,Gastroenterology,24,152,595883.90,24828.50,19.00,0.79,3.63,69.00,3652.37,252013.20,10500.55,4.00,0.17,1.25,5.00,53657.45,268287.23,11178.63,22.00,0.92,3.55,78.00,969.02,75583.47,3149.31,43885.00,1828.54
90028173 - DIVINE GRACE MEDICAL CENTER,90028173,DIVINE GRACE MEDICAL CENTER,ALLEN REYNES MARQUEZ,Cardiology,82,340,2032004.50,24780.54,59.00,0.72,1.97,116.00,7412.02,859793.90,10485.29,6.00,0.07,1.17,7.00,136183.77,953286.36,11625.44,80.00,0.98,2.71,217.00,1008.87,218924.24,2669.81,133908.00,1633.02
90029996 - ST. LUKE'S MEDICAL CENTER-QC,90029996,ST. LUKE'S MEDICAL CENTER-QC,GLADELYN CAPILI ESCASURA,Cardiology,37,195,916486.93,24769.92,25.00,0.68,3.64,91.00,8454.51,769360.49,20793.53,1.00,0.03,1.00,1.00,39770.27,39770.27,1074.87,36.00,0.97,2.86,103.00,1042.29,107356.17,2901.52,21463.00,580.08
90017164 - DILIMAN DOCTORS HOSPITAL INC.,90017164,DILIMAN DOCTORS HOSPITAL INC.,LEORA FLOR PROLLAMANTE MACAPUGAY,Internal Medicine,19,121,470183.93,24746.52,17.00,0.90,3.59,61.00,7017.82,428086.87,22530.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,1.00,3.16,60.00,701.62,42097.06,2215.63,23660.00,1245.26
90029850 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029850,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,BRYAN JAMES TABORADA SANTOS,Cardiology,8,27,197210.32,24651.29,5.00,0.63,2.20,11.00,17089.03,187979.32,23497.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,2.00,16.00,576.94,9231.00,1153.88,12870.00,1608.75
90016047 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90016047,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,MARIA TAMIKO TEVES GREGORIO,Internal Medicine,112,439,2757814.67,24623.35,82.00,0.73,1.94,159.00,6519.27,1036563.47,9255.03,11.00,0.10,1.00,11.00,128213.05,1410343.60,12592.35,105.00,0.94,2.56,269.00,1155.79,310907.60,2775.96,218299.00,1949.10
90023577 - DILIMAN DOCTORS HOSPITAL INC.,90023577,DILIMAN DOCTORS HOSPITAL INC.,ARA CRISSELE MALLARI JOSON,Internal Medicine,60,455,1472592.55,24543.21,54.00,0.90,4.04,218.00,5694.41,1241382.11,20689.70,1.00,0.02,1.00,1.00,71206.56,71206.56,1186.78,57.00,0.95,4.14,236.00,677.98,160003.88,2666.73,29290.00,488.17
90024591 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90024591,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,RAMAYANA DIAZ GARCIA,Cardiology,39,175,950819.50,24379.99,28.00,0.72,2.57,72.00,10546.48,759346.90,19470.43,1.00,0.03,1.00,1.00,53742.59,53742.59,1378.02,38.00,0.97,2.68,102.00,1350.29,137730.01,3531.54,12670.00,324.87
90019824 - DIVINE GRACE MEDICAL CENTER,90019824,DIVINE GRACE MEDICAL CENTER,LISETTE DOROTHY MENDOZA OCAMPO,Endocrinology,42,211,1023340.08,24365.24,39.00,0.93,2.15,84.00,7847.43,659184.35,15694.87,3.00,0.07,1.00,3.00,71529.38,214588.13,5109.24,40.00,0.95,3.10,124.00,1206.19,149567.60,3561.13,42950.00,1022.62
"2446 - MEDICAL CENTER MANILA, INC.",2446,"MEDICAL CENTER MANILA, INC.",JORGE A. SISON,Cardiology,107,691,2602966.77,24326.79,79.00,0.74,3.53,279.00,5180.53,1445368.88,13508.12,7.00,0.07,1.29,9.00,70261.38,632352.43,5909.84,105.00,0.98,3.84,403.00,1303.34,525245.46,4908.84,186640.00,1744.30
90017398 - DILIMAN DOCTORS HOSPITAL INC.,90017398,DILIMAN DOCTORS HOSPITAL INC.,RACHEL ROSE ORTEZA DEL ROSARIO,Cardiology,14,69,340344.89,24310.35,7.00,0.50,4.29,30.00,5464.58,163937.50,11709.82,1.00,0.07,1.00,1.00,133111.18,133111.18,9507.94,13.00,0.93,2.92,38.00,1139.37,43296.21,3092.59,34880.00,2491.43
"21361 - MANILA EAST MEDICAL CENTER, INC.",21361,"MANILA EAST MEDICAL CENTER, INC.",MARCO AURELIO PERALTA CASTILLO,Cardiology,41,332,993106.62,24222.11,32.00,0.78,5.09,163.00,4302.18,701255.03,17103.78,2.00,0.05,1.50,3.00,60064.79,180194.36,4394.98,41.00,1.00,4.05,166.00,672.63,111657.23,2723.35,43900.00,1070.73
"3466 - MANILA EAST MEDICAL CENTER, INC.",3466,"MANILA EAST MEDICAL CENTER, INC.",VIRGIE TOLENTINO VITOR,Internal Medicine,37,264,895422.77,24200.62,31.00,0.84,3.97,123.00,3941.40,484791.98,13102.49,3.00,0.08,1.67,5.00,58329.68,291648.39,7882.39,35.00,0.95,3.89,136.00,874.87,118982.40,3215.74,55211.00,1492.19
90022523 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90022523,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,FELIMON KALINISAN MORALES JR.,Internal Medicine,27,124,653405.80,24200.21,16.00,0.59,3.31,53.00,5325.43,282247.87,10453.62,2.00,0.07,1.50,3.00,88856.71,266570.14,9872.97,25.00,0.93,2.72,68.00,1538.06,104587.79,3873.62,41600.00,1540.74
34513 - THE MEDICAL CITY,34513,THE MEDICAL CITY,AGAPITO S. FORTUNO JR.,Cardiology,40,240,961229.84,24030.75,28.00,0.70,4.36,122.00,4979.85,607541.32,15188.53,2.00,0.05,1.50,3.00,53392.46,160177.38,4004.43,39.00,0.98,2.95,115.00,1682.71,193511.14,4837.78,19232.00,480.80
90024072 - CARDINAL SANTOS MEDICAL CENTER,90024072,CARDINAL SANTOS MEDICAL CENTER,RYAN PAUL PARILLA ASTUDILLO,Cardiology,58,322,1387285.87,23918.72,45.00,0.78,3.67,165.00,5624.33,928013.71,16000.24,4.00,0.07,1.00,4.00,79945.33,319781.32,5513.47,56.00,0.97,2.73,153.00,911.70,139490.84,2405.01,41262.00,711.41
90011051 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90011051,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MARCO POCA ANTOLIN,Cardiology,69,368,1642178.46,23799.69,47.00,0.68,2.96,139.00,7391.33,1027394.80,14889.78,5.00,0.07,1.20,6.00,73623.16,441738.96,6402.01,69.00,1.00,3.23,223.00,775.99,173044.70,2507.89,73560.00,1066.09
90026353 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90026353,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FLORENCE ROCHELLE CHUA GAN,Endocrinology,8,46,188730.76,23591.35,6.00,0.75,4.50,27.00,6573.55,177485.76,22185.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.88,2.71,19.00,591.84,11245.00,1405.63,0.00,0.00
90011747 - ASIAN HOSPITAL AND MEDICAL CENTER,90011747,ASIAN HOSPITAL AND MEDICAL CENTER,CARLO FRANCISCO SANTOS GOCHUICO,Gastroenterology,22,85,518612.99,23573.32,16.00,0.73,2.44,39.00,10676.07,416366.83,18925.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.82,2.56,46.00,2222.74,102246.16,4647.55,17550.00,797.73
90019755 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90019755,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,ARNEL FLORES LIM,Internal Medicine,38,189,895414.58,23563.54,30.00,0.79,2.43,73.00,4497.34,328305.68,8639.62,3.00,0.08,1.33,4.00,109385.70,437542.79,11514.28,35.00,0.92,3.20,112.00,1156.84,129566.11,3409.63,44292.00,1165.58
9048 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,9048,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MA. ROWENA V. LUCAS-LINGA,Internal Medicine,9,58,211169.14,23463.24,8.00,0.89,4.13,33.00,4830.04,159391.19,17710.13,1.00,0.11,1.00,1.00,38455.95,38455.95,4272.88,7.00,0.78,3.43,24.00,555.08,13322.00,1480.22,17790.00,1976.67
90022603 - ST. LUKE'S MEDICAL CENTER-QC,90022603,ST. LUKE'S MEDICAL CENTER-QC,ABONDINO GONZALEZ YUNQUE JR,Cardiology,24,150,561492.18,23395.51,19.00,0.79,4.58,87.00,6013.02,523132.84,21797.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.75,3.50,63.00,608.88,38359.34,1598.31,0.00,0.00
90023393 - THE MEDICAL CITY,90023393,THE MEDICAL CITY,FRANCIS CHARLES LAZO FERNANDEZ,Cardiology,12,48,280688.35,23390.70,5.00,0.42,3.00,15.00,13163.22,197448.24,16454.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1.00,2.75,33.00,2522.43,83240.11,6936.68,10530.00,877.50
90029271 - ASIAN HOSPITAL AND MEDICAL CENTER,90029271,ASIAN HOSPITAL AND MEDICAL CENTER,ROI JOSEPH VICTORIA MENDOZA,Cardiology,31,155,721609.87,23277.74,19.00,0.61,3.42,65.00,9153.22,594959.51,19192.24,1.00,0.03,1.00,1.00,74000.00,74000.00,2387.10,28.00,0.90,3.18,89.00,591.58,52650.36,1698.40,13910.00,448.71
90020749 - DILIMAN DOCTORS HOSPITAL INC.,90020749,DILIMAN DOCTORS HOSPITAL INC.,LESTER SY UY,Cardiology,37,218,859025.72,23216.91,30.00,0.81,3.40,102.00,7207.52,735167.42,19869.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,1.00,3.14,116.00,1067.74,123858.30,3347.52,36120.00,976.22
90019889 - MAKATI MEDICAL CENTER,90019889,MAKATI MEDICAL CENTER,ALEJANDRO RAMON RUFINO PRIETO JR.,Cardiology,28,96,648160.11,23148.58,17.00,0.61,2.35,40.00,13355.98,534239.11,19079.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.89,2.24,56.00,2034.30,113921.00,4068.61,22080.00,788.57
90008350 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90008350,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JOHN DAVID SANCHEZ TAN,Cardiology,25,94,578522.38,23140.90,20.00,0.80,2.60,52.00,9874.39,513468.40,20538.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.64,2.63,42.00,1548.90,65053.98,2602.16,4900.00,196.00
